title,creator,type,publisher,year,url
ABC et Cetera: The Life and Times of the Roman Alphabet,Alexander Humez and Nicholas Humez,book,"David R. Godine",1985,
Alpha Beta: How Our Alphabet Saved the Western World,John Man,book,"Headline Book Publishing",2000,
The American Heritage Dictionary of Indo-European Roots,Calvert Watkins,reference,"Houghton Mifflin",1985,https://www.ahdictionary.com/word/indoeurop.html
The Adventure of English: The Biography of a Language,Melvyn Bragg,book,"Arcade Publishing",2003,
The Anglo-Saxon Age,D.J.V. Fisher,book,"Marboro Books",1973,
Blooming English,Kate Burridge,book,"Cambridge University Press",2002,
A Book of Middle English,J.A. Burrow and Thorlac Turville-Petre,book,,2005,
The Etymologicon,Mark Forsyth,book,"Berkley Books",2011,
Greek and Latin in English Today,Richard M. Krill,book,"Bolchazy-Carducci Publishers",1990,
The History of English: An Introduction,Stephan Gramley,book,"Routledge",2012,
The History of English: A Linguistic Introduction,Scott Shay,book,"Wardja Press",2008,
The Horse The Wheel and Language,David W. Anthony,book,"Princeton University Press",2007,
How English Works: A Linguistic Introduction,Anne Curzan and Michael Adams,book,"Pearson Education",2006,
In Search of the Indo-Europeans,J.P. Mallory,book,"Thames and Hudson",1989,
An Introduction to Middle English,Simon Horobin and Jeremy Smith,book,"Oxford University Press",2002,
Inventing English: A Portable History of the English Language,Seth Lerer,book,"Columbia University Press",2007,
The Merriam-Webster New Book of Word Histories,Merriam-Webster,reference,"Merriam-Webster",1991,https://www.merriam-webster.com/
The Mother Tongue: English and How It Got That Way,Bill Bryson,book,"HarperCollins",1990,
Old and Middle English: An Anthology,Elaine Treharne,book,"Blackwell Publishers",2000,
Origins of the English Language: A Social and Linguistic History,Joseph M. Williams,book,"The Free Press",1975,
The Origins and Development of the English Language,John Algeo and Thomas Pyles,book,"Thomson Wadsworth",2004,
Our Language,Simeon Potter,book,"Penguin Books",1990,
The Story of English,Robert McCrum William Cran and Robert MacNeil,book,"Penguin Books",1986,
The Unexpected Evolution of Language,Justin Cord Hayes,book,"F+W Media",2012,
The Allusionist Podcast,Helen Zaltzman,podcast,,2015,https://www.theallusionist.org/
Because Language Podcast,Daniel Midgley Ben Ainslie and Hedvig Skirgard,podcast,,2011,https://becauselanguage.com/
The Endless Knot Podcast,Marcie Sundaram and Aven McMaster,podcast,,2015,https://www.alliterative.net/
Etymonline.com,Douglas Harper,website,,2001,https://www.etymonline.com/
Grammar Girl Quick and Dirty Tips Podcast,Mignon Fogarty,podcast,,2006,https://www.quickanddirtytips.com/grammar-girl/
The Language of Carpentry,,website,,,https://thelanguageofcarpentry.com/
Lexicon Valley Podcast,John McWhorter,podcast,,2021,https://lexiconvalley.substack.com/
Lexitecture Podcast,Ryan Paulsen and Amy Hanridge,podcast,,,https://www.lexitecture.com/
Lingthusiasm Podcast,Gretchen McCulloch and Lauren Gawne,podcast,,2016,https://lingthusiasm.com/
Vocal Fries Podcast,Carrie Gillon and Megan Figueroa,podcast,,2017,https://vocalfriespod.com/
A Way With Words Podcast,Martha Barnette and Grant Barrett,podcast,,1998,https://waywordradio.org/
Words for Granted Podcast,Ray Belli,podcast,,2016,https://www.wordsforgranted.com/
The World in Words Podcast,Patrick Cox,podcast,,,https://theworld.org/categories/language
